t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
0.320,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.400,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.500,map,2.5000,2.5000,0.0076,2.5000,2.5000,0.0077
0.600,map,2.5000,2.5000,0.0303,2.5000,2.5000,0.0303
0.700,map,2.5000,2.5000,0.0683,2.5000,2.5000,0.0679
0.800,map,2.5000,2.5000,0.1209,2.5000,2.5000,0.1206
0.900,map,2.5000,2.5000,0.1893,2.5000,2.5000,0.1883
1.000,map,2.5000,2.5000,0.2731,2.5000,2.5000,0.2709
1.100,map,2.5000,2.5000,0.3641,2.5000,2.5000,0.3609
1.200,map,2.5000,2.5000,0.4547,2.5000,2.5000,0.4509
1.300,map,2.5000,2.5000,0.5434,2.5000,2.5000,0.5409
1.400,map,2.5000,2.5000,0.6324,2.5000,2.5000,0.6309
1.500,map,2.5000,2.5000,0.7224,2.5000,2.5000,0.7209
1.600,map,2.5000,2.5000,0.8135,2.5000,2.5000,0.8109
1.700,map,2.5000,2.5000,0.9051,2.5000,2.5000,0.9009
1.800,map,2.5000,2.5000,0.9950,2.5000,2.5000,0.9909
1.900,map,2.5012,2.5021,1.0842,2.5012,2.5021,1.0809
2.000,map,2.5043,2.5088,1.1713,2.5044,2.5089,1.1672
2.110,map,2.5091,2.5218,1.2534,2.5093,2.5219,1.2483
2.210,map,2.5140,2.5386,1.3159,2.5143,2.5386,1.3101
2.310,map,2.5191,2.5604,1.3662,2.5195,2.5605,1.3607
2.410,map,2.5241,2.5874,1.4081,2.5246,2.5874,1.4030
2.510,map,2.5287,2.6194,1.4435,2.5294,2.6195,1.4385
2.610,map,2.5329,2.6568,1.4736,2.5338,2.6567,1.4684
2.710,map,2.5365,2.6993,1.4985,2.5375,2.6990,1.4935
2.810,map,2.5392,2.7436,1.5193,2.5405,2.7434,1.5147
2.910,map,2.5411,2.7879,1.5373,2.5426,2.7880,1.5327
3.010,map,2.5422,2.8326,1.5524,2.5439,2.8328,1.5479
3.110,map,2.5534,2.8764,1.5621,2.5447,2.8776,1.5608
3.210,map,2.5547,2.9211,1.5730,2.5449,2.9225,1.5721
3.310,map,2.5543,2.9658,1.5832,2.5446,2.9674,1.5821
3.410,map,2.5536,3.0105,1.5916,2.5439,3.0123,1.5904
3.510,map,2.5525,3.0554,1.5989,2.5428,3.0573,1.5975
3.610,map,2.5511,3.1004,1.6049,2.5415,3.1022,1.6034
3.710,map,2.5494,3.1452,1.6099,2.5399,3.1471,1.6084
3.810,map,2.5476,3.1905,1.6141,2.5381,3.1921,1.6127
3.910,map,2.5455,3.2356,1.6177,2.5361,3.2370,1.6163
4.010,map,2.5433,3.2805,1.6208,2.5340,3.2820,1.6193
4.110,map,2.5411,3.3251,1.6230,2.5318,3.3269,1.6219
4.210,map,2.5387,3.3699,1.6254,2.5294,3.3718,1.6241
4.310,map,2.5362,3.4150,1.6273,2.5270,3.4168,1.6259
4.410,map,2.5336,3.4600,1.6287,2.5245,3.4617,1.6275
4.510,map,2.5309,3.5051,1.6301,2.5219,3.5066,1.6288
4.610,map,2.5282,3.5502,1.6312,2.5193,3.5515,1.6299
4.710,map,2.5255,3.5950,1.6320,2.5166,3.5965,1.6309
4.810,map,2.5227,3.6398,1.6327,2.5139,3.6414,1.6317
4.910,map,2.5200,3.6841,1.6339,2.5111,3.6863,1.6324
5.010,map,2.5171,3.7290,1.6346,2.5083,3.7312,1.6329
5.110,map,2.5142,3.7736,1.6351,2.5055,3.7761,1.6333
5.210,map,2.5113,3.8186,1.6353,2.5027,3.8210,1.6337
5.310,map,2.5084,3.8637,1.6356,2.4999,3.8659,1.6340
5.410,map,2.5055,3.9089,1.6360,2.4970,3.9109,1.6342
5.510,map,2.5025,3.9540,1.6363,2.4942,3.9558,1.6344
5.610,map,2.4996,3.9990,1.6362,2.4913,4.0007,1.6346
5.710,map,2.4966,4.0438,1.6361,2.4884,4.0456,1.6348
5.810,map,2.4937,4.0889,1.6359,2.4855,4.0905,1.6349
5.910,map,2.4907,4.1342,1.6365,2.4827,4.1354,1.6352
6.010,map,2.4878,4.1790,1.6365,2.4798,4.1803,1.6353
6.110,map,2.4848,4.2242,1.6365,2.4769,4.2252,1.6354
6.210,map,2.4818,4.2693,1.6364,2.4739,4.2701,1.6355
6.310,map,2.4789,4.3142,1.6362,2.4710,4.3150,1.6357
6.410,map,2.4760,4.3588,1.6364,2.4681,4.3599,1.6358
6.510,map,2.4730,4.4038,1.6361,2.4652,4.4048,1.6360
6.610,map,2.4700,4.4489,1.6364,2.4622,4.4497,1.6361
6.710,map,2.4671,4.4937,1.6366,2.4593,4.4946,1.6363
6.810,map,2.4642,4.5381,1.6365,2.4564,4.5395,1.6364
6.910,map,2.4613,4.5825,1.6370,2.4534,4.5844,1.6366
7.010,map,2.4583,4.6272,1.6372,2.4504,4.6293,1.6367
7.110,map,2.4553,4.6724,1.6370,2.4475,4.6743,1.6367
7.210,map,2.4523,4.7171,1.6371,2.4445,4.7192,1.6368
7.310,map,2.4493,4.7623,1.6371,2.4415,4.7641,1.6368
7.410,map,2.4463,4.8074,1.6370,2.4386,4.8090,1.6368
7.510,map,2.4434,4.8521,1.6369,2.4356,4.8539,1.6369
7.610,map,2.4404,4.8970,1.6369,2.4326,4.8988,1.6369
7.710,map,2.4374,4.9418,1.6369,2.4297,4.9437,1.6370
7.810,map,2.4345,4.9866,1.6371,2.4267,4.9886,1.6371
7.910,map,2.4315,5.0310,1.6373,2.4237,5.0335,1.6372
8.010,map,2.4286,5.0753,1.6370,2.4207,5.0784,1.6372
8.110,map,2.4256,5.1203,1.6369,2.4177,5.1233,1.6372
8.210,map,2.4226,5.1654,1.6368,2.4147,5.1682,1.6373
8.310,map,2.4178,5.2117,1.6373,2.4117,5.2131,1.6374
8.410,map,2.4066,5.2650,1.6376,2.4088,5.2580,1.6374
8.510,map,2.4037,5.3096,1.6373,2.4058,5.3029,1.6372
8.610,map,2.4007,5.3542,1.6371,2.4028,5.3478,1.6370
8.710,map,2.3977,5.3989,1.6368,2.3998,5.3927,1.6368
8.810,map,2.3947,5.4442,1.6369,2.3968,5.4376,1.6366
8.910,map,2.3918,5.4890,1.6368,2.3939,5.4825,1.6365
9.010,map,2.3888,5.5345,1.6365,2.3909,5.5274,1.6364
9.110,map,2.3858,5.5796,1.6365,2.3880,5.5723,1.6363
9.210,map,2.3829,5.6243,1.6365,2.3850,5.6172,1.6362
9.310,map,2.3799,5.6694,1.6363,2.3821,5.6621,1.6361
9.410,map,2.3770,5.7142,1.6360,2.3792,5.7070,1.6360
9.510,map,2.3740,5.7593,1.6361,2.3762,5.7519,1.6359
9.610,map,2.3711,5.8044,1.6362,2.3733,5.7968,1.6359
9.710,map,2.3772,5.8402,1.6362,2.3704,5.8417,1.6359
9.810,map,2.3752,5.8841,1.6367,2.3675,5.8866,1.6359
9.910,map,2.3722,5.9288,1.6372,2.3645,5.9315,1.6361
10.010,map,2.3692,5.9735,1.6369,2.3616,5.9764,1.6362
10.110,map,2.3662,6.0189,1.6369,2.3586,6.0213,1.6362
10.210,map,2.3633,6.0636,1.6371,2.3557,6.0662,1.6363
10.310,map,2.3603,6.1088,1.6370,2.3528,6.1111,1.6364
10.410,map,2.3573,6.1539,1.6369,2.3498,6.1560,1.6365
10.510,map,2.3540,6.2031,1.6370,2.3465,6.2054,1.6366
10.610,map,2.3514,6.2438,1.6369,2.3439,6.2458,1.6367
10.710,map,2.3484,6.2887,1.6370,2.3409,6.2907,1.6368
10.810,map,2.3454,6.3335,1.6373,2.3379,6.3356,1.6369
10.910,map,2.3424,6.3783,1.6372,2.3350,6.3805,1.6370
11.010,map,2.3394,6.4231,1.6372,2.3320,6.4254,1.6370
11.110,map,2.3365,6.4680,1.6367,2.3290,6.4703,1.6371
11.210,map,2.3335,6.5132,1.6365,2.3260,6.5152,1.6372
11.310,map,2.3305,6.5583,1.6367,2.3230,6.5601,1.6373
11.410,map,2.3276,6.6027,1.6369,2.3200,6.6050,1.6375
11.510,map,2.3246,6.6475,1.6372,2.3170,6.6499,1.6376
11.610,map,2.3216,6.6920,1.6376,2.3140,6.6948,1.6376
11.710,map,2.3186,6.7365,1.6380,2.3110,6.7397,1.6377
11.810,map,2.3156,6.7816,1.6376,2.3080,6.7846,1.6376
11.910,map,2.3126,6.8271,1.6375,2.3050,6.8295,1.6376
12.010,map,2.3096,6.8719,1.6380,2.3020,6.8744,1.6376
12.110,map,2.3066,6.9167,1.6379,2.2990,6.9193,1.6376
12.210,map,2.3035,6.9619,1.6377,2.2960,6.9642,1.6375
12.310,map,2.3005,7.0120,1.6379,2.2930,7.0091,1.6375
12.410,map,2.2975,7.0613,1.6383,2.2900,7.0540,1.6374
12.510,map,2.2945,7.1063,1.6382,2.2870,7.0989,1.6374
12.610,map,2.2915,7.1494,1.6404,2.2841,7.1425,1.6392
12.710,map,2.2882,7.1935,1.6550,2.2808,7.1864,1.6543
12.810,map,2.2839,7.2374,1.6829,2.2766,7.2303,1.6824
12.910,map,2.2783,7.2813,1.7108,2.2710,7.2742,1.7102
13.010,map,2.2716,7.3254,1.7349,2.2643,7.3181,1.7345
13.110,map,2.2638,7.3694,1.7556,2.2566,7.3619,1.7559
