t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
0.110,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.200,odom,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.300,map,2.5000,2.5000,0.0000,2.5000,2.5000,0.0000
0.400,map,2.5000,2.5000,0.0077,2.5000,2.5000,0.0077
0.500,map,2.5000,2.5000,0.0300,2.5000,2.5000,0.0303
0.600,map,2.5000,2.5000,0.0679,2.5000,2.5000,0.0679
0.700,map,2.5000,2.5000,0.1206,2.5000,2.5000,0.1206
0.800,map,2.5000,2.5000,0.1880,2.5000,2.5000,0.1883
0.900,map,2.5000,2.5000,0.2707,2.5000,2.5000,0.2709
1.000,map,2.5000,2.5000,0.3613,2.5000,2.5000,0.3609
1.100,map,2.5000,2.5000,0.4514,2.5000,2.5000,0.4509
1.200,map,2.5000,2.5000,0.5413,2.5000,2.5000,0.5409
1.300,map,2.5000,2.5000,0.6331,2.5000,2.5000,0.6309
1.400,map,2.5000,2.5000,0.7250,2.5000,2.5000,0.7209
1.500,map,2.5000,2.5000,0.8166,2.5000,2.5000,0.8109
1.600,map,2.5000,2.5000,0.9067,2.5000,2.5000,0.9009
1.700,map,2.5000,2.5000,0.9959,2.5000,2.5000,0.9909
1.800,map,2.5000,2.5000,1.0852,2.5000,2.5000,1.0809
1.900,map,2.5010,2.5022,1.1724,2.5010,2.5022,1.1671
2.000,map,2.5036,2.5093,1.2458,2.5037,2.5092,1.2412
2.110,map,2.5076,2.5227,1.3141,2.5077,2.5225,1.3088
2.210,map,2.5116,2.5399,1.3654,2.5117,2.5395,1.3603
2.310,map,2.5157,2.5619,1.4075,2.5159,2.5616,1.4026
2.410,map,2.5196,2.5889,1.4428,2.5200,2.5887,1.4380
2.510,map,2.5232,2.6212,1.4726,2.5238,2.6209,1.4678
2.610,map,2.5264,2.6582,1.4976,2.5271,2.6580,1.4932
2.710,map,2.5290,2.7005,1.5189,2.5299,2.7003,1.5143
2.810,map,2.5309,2.7452,1.5369,2.5320,2.7449,1.5321
2.910,map,2.5321,2.7902,1.5519,2.5334,2.7897,1.5472
3.010,map,2.5327,2.8352,1.5652,2.5342,2.8345,1.5600
3.110,map,2.5343,2.8799,1.5728,2.5344,2.8794,1.5707
3.210,map,2.5342,2.9247,1.5816,2.5342,2.9243,1.5801
3.310,map,2.5335,2.9691,1.5900,2.5336,2.9692,1.5882
3.410,map,2.5325,3.0137,1.5971,2.5327,3.0142,1.5952
3.510,map,2.5312,3.0581,1.6033,2.5314,3.0591,1.6010
3.610,map,2.5296,3.1030,1.6083,2.5300,3.1041,1.6058
3.710,map,2.5278,3.1477,1.6126,2.5283,3.1490,1.6099
3.810,map,2.5259,3.1923,1.6163,2.5265,3.1940,1.6133
3.910,map,2.5238,3.2367,1.6191,2.5245,3.2389,1.6162
4.010,map,2.5216,3.2815,1.6216,2.5224,3.2839,1.6185
4.110,map,2.5192,3.3262,1.6238,2.5202,3.3288,1.6205
4.210,map,2.5168,3.3704,1.6256,2.5179,3.3737,1.6222
4.310,map,2.5144,3.4151,1.6274,2.5156,3.4187,1.6236
4.410,map,2.5130,3.4604,1.6263,2.5132,3.4636,1.6247
4.510,map,2.5110,3.5058,1.6268,2.5107,3.5085,1.6259
4.610,map,2.5085,3.5507,1.6278,2.5082,3.5535,1.6271
4.710,map,2.5059,3.5959,1.6287,2.5056,3.5984,1.6282
4.810,map,2.5032,3.6406,1.6296,2.5030,3.6433,1.6291
4.910,map,2.5006,3.6850,1.6306,2.5004,3.6882,1.6300
5.010,map,2.4979,3.7295,1.6310,2.4977,3.7332,1.6306
5.110,map,2.4952,3.7741,1.6318,2.4950,3.7781,1.6312
5.210,map,2.4925,3.8194,1.6324,2.4923,3.8230,1.6317
5.310,map,2.4897,3.8639,1.6330,2.4895,3.8679,1.6321
5.410,map,2.4869,3.9092,1.6331,2.4868,3.9128,1.6324
5.510,map,2.4841,3.9545,1.6330,2.4840,3.9577,1.6327
5.610,map,2.4813,3.9988,1.6331,2.4812,4.0027,1.6330
5.710,map,2.4785,4.0494,1.6333,2.4784,4.0476,1.6333
5.810,map,2.4757,4.0989,1.6336,2.4756,4.0925,1.6335
5.910,map,2.4728,4.1436,1.6338,2.4728,4.1374,1.6337
6.010,map,2.4700,4.1890,1.6338,2.4699,4.1823,1.6339
6.110,map,2.4671,4.2339,1.6340,2.4671,4.2272,1.6341
6.210,map,2.4643,4.2791,1.6342,2.4642,4.2721,1.6342
6.310,map,2.4614,4.3240,1.6346,2.4614,4.3170,1.6344
6.410,map,2.4585,4.3689,1.6345,2.4585,4.3619,1.6345
6.510,map,2.4557,4.4138,1.6349,2.4557,4.4068,1.6345
6.610,map,2.4528,4.4582,1.6349,2.4528,4.4518,1.6346
6.710,map,2.4499,4.5035,1.6350,2.4499,4.4967,1.6346
6.810,map,2.4470,4.5482,1.6349,2.4471,4.5416,1.6346
6.910,map,2.4441,4.5933,1.6349,2.4442,4.5865,1.6346
7.010,map,2.4413,4.6347,1.6349,2.4413,4.6314,1.6346
